,Unnamed: 0,filename,captions,keywords,top_keywords,cluster_ids,cluster_keywords,cluster_similarity_score,video_similarity_score
0,0,21379,skiers are skiing down a snowy slope with a ski lift in the background,skiers ski skiing slope snowy ,skiers_ski_skiing,2,skiers_snow_snowy_mountain,0.5481712681854644,0.6673919
1,1,26960,a woman in a veil and veiled headpiece standing in front of a staircase a woman in a dress standing on a staircase next to a railing,staircase veil woman railing dress ,staircase_veil_woman,26,woman_standing_sitting_room,0.25453812250872027,0.35050294
2,2,18653,there is a plane that is flying in the sky with a sky background smoke billows out from a building on a street in front of a parking lot,plane sky flying smoke street ,plane_sky_flying,15,dark_background_phone_standing,0.2633934019697437,0.13719061
3,3,19781,man with tattoos sitting on a couch holding a drink  man with tattoos sitting in a chair with a beer,tattoos beer drink couch chair ,tattoos_beer_drink,39,sitting_standing_man_table,0.28493999155348365,0.24084209
4,4,18461,image of a football game with a marching band  view of a football game with a player throwing the ball,football marching ball image throwing ,football_marching_ball,4,soccer_football_players_people,0.4572096828681727,0.55927217
5,5,21977,there is a man holding a child in his arms while standing in front of a truck people standing in front of a television watching the sun set  man taking a picture of the sun setting behind him,sun standing television child holding ,sun_standing_television,20,standing_tree_bird_grass,0.2936226631429917,0.04566571
6,6,24439,there is a man walking down the sidewalk with an umbrella there is a person holding an umbrella on a brick street,umbrella sidewalk walking person street ,umbrella_sidewalk_walking,12,photo_standing_woman_people,0.20325916301856198,0.104341745
7,7,20099,man in a blue jacket and black hat standing in front of a fence  man holding a basketball in front of a basketball court,basketball standing holding court jacket ,basketball_standing_holding,1,sitting_man_shirt_standing,0.3279293091524215,0.24259183
8,8,18839,there is a bird that is sitting on a rock near a tower there is a bird sitting on a rock near a tower there is a bird that is sitting on a rock,bird tower rock sitting near ,bird_tower_rock,17,mountain_view_mountains_road,0.3947719634052808,0.25783184
9,9,23278,there is a paper doll with a face and a face on it there is a paper doll with a face on it on a tennis court,doll tennis paper face court ,doll_tennis_paper,27,standing_people_walking_woman,0.14398149883266226,0.0375322
10,10,24861,a close up of a large jetliner sitting on top of an airport tarmac a close up of a plane on a runway with a sky background,jetliner plane airport sky runway ,jetliner_plane_airport,36,flying_parachute_sky_paraglider,0.4943497387232396,0.18188383
